# CHALLENGER LEVEL: THE SCHEDULING PARADOX
# Designed to test strict multi-turn connection rules and link capacity bottlenecks.
# Reference Target: <= 38 turns

nb_drones: 30

# === BASE LAYER ===
start_hub: central_base 0 0 [color=green]
end_hub: quantum_gate 25 0 [color=blue]

# === THE SPLIT BOTTLENECK ===
hub: alpha_choke 2 2 [color=red max_drones=1]
hub: beta_choke 2 -2 [color=red max_drones=1]

# === THE FLOATING RESTRICTED BRIDGE (2-turn movement cost) ===
hub: bridge_entry 5 0 [color=orange max_drones=2]
hub: mid_bridge_1 8 0 [zone=restricted color=brown max_drones=1]
hub: mid_bridge_2 11 0 [zone=restricted color=brown max_drones=1]
hub: bridge_exit 14 0 [color=orange max_drones=2]

# === THE PRIORITY SPEEDWAY (Fast, but tightly constrained links) ===
hub: priority_run1 5 4 [zone=priority color=gold max_drones=2]
hub: priority_run2 10 4 [zone=priority color=gold max_drones=2]
hub: priority_run3 15 4 [zone=priority color=gold max_drones=2]

# === THE CAPACITY OVERFLOW CORRIDOR ===
hub: overflow_node1 5 -4 [zone=normal color=gray max_drones=5]
hub: overflow_node2 10 -4 [zone=normal color=gray max_drones=5]
hub: overflow_node3 15 -4 [zone=normal color=gray max_drones=5]

# === THE GAUNTLET CONVERGENCE ===
hub: pre_merge 18 0 [color=purple max_drones=3]
hub: choke_point_1 20 0 [color=red max_drones=1]
hub: choke_point_2 22 0 [color=red max_drones=1]

# === CONNECTIONS ===
# Source distribution limits
connection: central_base-alpha_choke [max_link_capacity=1]
connection: central_base-beta_choke [max_link_capacity=1]

# Routing options from Alpha Choke
connection: alpha_choke-bridge_entry [max_link_capacity=1]
connection: alpha_choke-priority_run1 [max_link_capacity=2]

# Routing options from Beta Choke
connection: beta_choke-bridge_entry [max_link_capacity=1]
connection: beta_choke-overflow_node1 [max_link_capacity=3]

# Restricted Bridge Mechanics (Verifies multi-turn mechanics)
connection: bridge_entry-mid_bridge_1 [max_link_capacity=1]
connection: mid_bridge_1-mid_bridge_2 [max_link_capacity=1]
connection: mid_bridge_2-bridge_exit [max_link_capacity=1]

# Priority Speedway Connections
connection: priority_run1-priority_run2 [max_link_capacity=1]
connection: priority_run2-priority_run3 [max_link_capacity=1]

# Overflow Corridor Connections
connection: overflow_node1-overflow_node2 [max_link_capacity=2]
connection: overflow_node2-overflow_node3 [max_link_capacity=2]

# Convergence points into Pre-Merge
connection: bridge_exit-pre_merge [max_link_capacity=2]
connection: priority_run3-pre_merge [max_link_capacity=1]
connection: overflow_node3-pre_merge [max_link_capacity=2]

# Final Gauntlet to Target
connection: pre_merge-choke_point_1 [max_link_capacity=1]
connection: choke_point_1-choke_point_2 [max_link_capacity=1]
connection: choke_point_2-quantum_gate [max_link_capacity=1]
